hour,attacks,messages,trades,total
0,594,281,285,1160
1,526,204,361,1091
2,648,242,361,1251
3,673,200,356,1229
4,603,260,344,1207
5,595,303,255,1153
6,579,220,364,1163
7,566,201,291,1058
8,700,314,389,1403
9,725,276,282,1283
10,721,297,382,1400
11,667,378,312,1357
12,683,258,312,1253
13,620,231,271,1122
14,556,472,279,1307
15,647,358,338,1343
16,660,540,332,1532
17,745,755,277,1777
18,748,533,363,1644
19,719,525,336,1580
20,759,287,404,1450
21,673,441,386,1500
22,631,301,444,1376
23,677,400,330,1407
